EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,196
TOTAL_FRAME,327
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,198
TOTAL_FRAME,327
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
RENDER,216
TOTAL_FRAME,351
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
RENDER,200
TOTAL_FRAME,339
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
RENDER,231
TOTAL_FRAME,364
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,95
RENDER,233
TOTAL_FRAME,379
INPUT_HANDLING,4
FIXED_UPDATE,0
EDITOR_UPDATE,1
IMGUI_UPDATE,97
RENDER,279
TOTAL_FRAME,430
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,110
RENDER,223
TOTAL_FRAME,377
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,89
RENDER,229
TOTAL_FRAME,361
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
RENDER,210
TOTAL_FRAME,341
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,232
TOTAL_FRAME,363
INPUT_HANDLING,65
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,149
RENDER,214
TOTAL_FRAME,477
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
RENDER,197
TOTAL_FRAME,369
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,88
RENDER,213
TOTAL_FRAME,349
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
RENDER,195
TOTAL_FRAME,325
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,85
RENDER,185
TOTAL_FRAME,314
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,85
RENDER,208
TOTAL_FRAME,340
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,86
RENDER,194
TOTAL_FRAME,335
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,88
RENDER,201
TOTAL_FRAME,331
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,88
RENDER,197
TOTAL_FRAME,328
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
RENDER,196
TOTAL_FRAME,326
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
RENDER,183
TOTAL_FRAME,317
INPUT_HANDLING,3
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,129
RENDER,231
TOTAL_FRAME,417
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,89
RENDER,200
TOTAL_FRAME,333
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
IMGUI_UPDATE,87
RENDER,211
TOTAL_FRAME,342
INPUT_HANDLING,2
FIXED_UPDATE,0
EDITOR_UPDATE,0
